rho,betak1,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
1.000000e-02,2.507891e-108,2.495919e-02,2.549631e-02,9.789335e-01,2.495919e-02,2.549631e-02,9.789335e-01,2.495919e-02,2.549631e-02,9.789335e-01,2.495919e-02,2.549631e-02,9.789335e-01,2.495919e-02,2.549631e-02,9.789335e-01,6.260203e-03,6.293561e-03,3.978799e+00,6.260203e-03,6.293561e-03,3.978799e+00,6.260203e-03,6.293561e-03,3.978799e+00,6.260203e-03,6.293561e-03,3.978799e+00,6.260203e-03,6.293561e-03,3.978799e+00,2.507891e-108,1.000000e-02,1.589493e-01,1.572828e+00
2.000000e-02,2.463082e-90,4.983225e-02,5.201086e-02,9.581126e-01,4.983225e-02,5.201086e-02,9.581126e-01,4.983225e-02,5.201086e-02,9.581126e-01,4.983225e-02,5.201086e-02,9.581126e-01,4.983225e-02,5.201086e-02,9.581126e-01,1.254194e-02,1.267642e-02,3.957564e+00,1.254194e-02,1.267642e-02,3.957564e+00,1.254194e-02,1.267642e-02,3.957564e+00,1.254194e-02,1.267642e-02,3.957564e+00,1.254194e-02,1.267642e-02,3.957564e+00,2.463082e-90,2.000000e-02,3.234364e-01,1.545899e+00
3.000000e-02,7.693203e-80,7.461212e-02,7.958237e-02,9.375459e-01,7.461212e-02,7.958237e-02,9.375459e-01,7.461212e-02,7.958237e-02,9.375459e-01,7.461212e-02,7.958237e-02,9.375459e-01,7.461212e-02,7.958237e-02,9.375459e-01,1.884697e-02,1.915201e-02,3.936291e+00,1.884697e-02,1.915201e-02,3.936291e+00,1.884697e-02,1.915201e-02,3.936291e+00,1.884697e-02,1.915201e-02,3.936291e+00,1.884697e-02,1.915201e-02,3.936291e+00,7.693203e-80,3.000000e-02,4.936719e-01,1.519228e+00
4.000000e-02,2.043317e-72,9.929126e-02,1.082498e-01,9.172419e-01,9.929126e-02,1.082498e-01,9.172419e-01,9.929126e-02,1.082498e-01,9.172419e-01,9.929126e-02,1.082498e-01,9.172419e-01,9.929126e-02,1.082498e-01,9.172419e-01,2.517718e-02,2.572399e-02,3.914974e+00,2.517718e-02,2.572399e-02,3.914974e+00,2.517718e-02,2.572399e-02,3.914974e+00,2.517718e-02,2.572399e-02,3.914974e+00,2.517718e-02,2.572399e-02,3.914974e+00,2.043317e-72,4.000000e-02,6.698690e-01,1.492829e+00
5.000000e-02,1.126060e-66,1.238617e-01,1.380523e-01,8.972084e-01,1.238617e-01,1.380523e-01,8.972084e-01,1.238617e-01,1.380523e-01,8.972084e-01,1.238617e-01,1.380523e-01,8.972084e-01,1.238617e-01,1.380523e-01,8.972084e-01,3.153459e-02,3.239629e-02,3.893605e+00,3.153459e-02,3.239629e-02,3.893605e+00,3.153459e-02,3.239629e-02,3.893605e+00,3.153459e-02,3.239629e-02,3.893605e+00,3.153459e-02,3.239629e-02,3.893605e+00,1.126060e-66,5.000000e-02,8.522428e-01,1.466718e+00
6.000000e-02,5.342582e-62,1.483148e-01,1.690288e-01,8.774530e-01,1.483148e-01,1.690288e-01,8.774530e-01,1.483148e-01,1.690288e-01,8.774530e-01,1.483148e-01,1.690288e-01,8.774530e-01,1.483148e-01,1.690288e-01,8.774530e-01,3.792130e-02,3.917309e-02,3.872178e+00,3.792130e-02,3.917309e-02,3.872178e+00,3.792130e-02,3.917309e-02,3.872178e+00,3.792130e-02,3.917309e-02,3.872178e+00,3.792130e-02,3.917309e-02,3.872178e+00,5.342582e-62,6.000000e-02,1.041009e+00,1.440909e+00
7.000000e-02,4.661566e-58,1.726417e-01,2.012181e-01,8.579830e-01,1.726417e-01,2.012181e-01,8.579830e-01,1.726417e-01,2.012181e-01,8.579830e-01,1.726417e-01,2.012181e-01,8.579830e-01,1.726417e-01,2.012181e-01,8.579830e-01,4.433957e-02,4.605887e-02,3.850687e+00,4.433957e-02,4.605887e-02,3.850687e+00,4.433957e-02,4.605887e-02,3.850687e+00,4.433957e-02,4.605887e-02,3.850687e+00,4.433957e-02,4.605887e-02,3.850687e+00,4.661566e-58,7.000000e-02,1.236385e+00,1.415417e+00
8.000000e-02,1.176655e-54,1.968328e-01,2.346586e-01,8.388050e-01,1.968328e-01,2.346586e-01,8.388050e-01,1.968328e-01,2.346586e-01,8.388050e-01,1.968328e-01,2.346586e-01,8.388050e-01,1.968328e-01,2.346586e-01,8.388050e-01,5.079179e-02,5.305841e-02,3.829123e+00,5.079179e-02,5.305841e-02,3.829123e+00,5.079179e-02,5.305841e-02,3.829123e+00,5.079179e-02,5.305841e-02,3.829123e+00,5.079179e-02,5.305841e-02,3.829123e+00,1.176655e-54,8.000000e-02,1.438585e+00,1.390255e+00
9.000000e-02,1.150793e-51,2.208781e-01,2.693881e-01,8.199253e-01,2.208781e-01,2.693881e-01,8.199253e-01,2.208781e-01,2.693881e-01,8.199253e-01,2.208781e-01,2.693881e-01,8.199253e-01,2.208781e-01,2.693881e-01,8.199253e-01,5.728047e-02,6.017681e-02,3.807478e+00,5.728047e-02,6.017681e-02,3.807478e+00,5.728047e-02,6.017681e-02,3.807478e+00,5.728047e-02,6.017681e-02,3.807478e+00,5.728047e-02,6.017681e-02,3.807478e+00,1.150793e-51,9.000000e-02,1.647824e+00,1.365437e+00
1.000000e-01,5.323636e-49,2.447669e-01,3.054433e-01,8.013497e-01,2.447669e-01,3.054433e-01,8.013497e-01,2.447669e-01,3.054433e-01,8.013497e-01,2.447669e-01,3.054433e-01,8.013497e-01,2.447669e-01,3.054433e-01,8.013497e-01,6.380826e-02,6.741950e-02,3.785745e+00,6.380826e-02,6.741950e-02,3.785745e+00,6.380826e-02,6.741950e-02,3.785745e+00,6.380826e-02,6.741950e-02,3.785745e+00,6.380826e-02,6.741950e-02,3.785745e+00,5.323636e-49,1.000000e-01,1.864314e+00,1.340976e+00
1.100000e-01,1.342967e-46,2.684882e-01,3.428602e-01,7.830835e-01,2.684882e-01,3.428602e-01,7.830835e-01,2.684882e-01,3.428602e-01,7.830835e-01,2.684882e-01,3.428602e-01,7.830835e-01,2.684882e-01,3.428602e-01,7.830835e-01,7.037796e-02,7.479231e-02,3.763914e+00,7.037796e-02,7.479231e-02,3.763914e+00,7.037796e-02,7.479231e-02,3.763914e+00,7.037796e-02,7.479231e-02,3.763914e+00,7.037796e-02,7.479231e-02,3.763914e+00,1.342967e-46,1.100000e-01,2.088262e+00,1.316884e+00
1.200000e-01,2.052004e-44,2.920300e-01,3.816730e-01,7.651314e-01,2.920300e-01,3.816730e-01,7.651314e-01,2.920300e-01,3.816730e-01,7.651314e-01,2.920300e-01,3.816730e-01,7.651314e-01,2.920300e-01,3.816730e-01,7.651314e-01,7.699250e-02,8.230143e-02,3.741976e+00,7.699250e-02,8.230143e-02,3.741976e+00,7.699250e-02,8.230143e-02,3.741976e+00,7.699250e-02,8.230143e-02,3.741976e+00,7.699250e-02,8.230143e-02,3.741976e+00,2.052004e-44,1.200000e-01,2.319872e+00,1.293175e+00
1.300000e-01,2.056730e-42,3.153802e-01,4.219147e-01,7.474977e-01,3.153802e-01,4.219147e-01,7.474977e-01,3.153802e-01,4.219147e-01,7.474977e-01,3.153802e-01,4.219147e-01,7.474977e-01,3.153802e-01,4.219147e-01,7.474977e-01,8.365494e-02,8.995344e-02,3.719922e+00,8.365494e-02,8.995344e-02,3.719922e+00,8.365494e-02,8.995344e-02,3.719922e+00,8.365494e-02,8.995344e-02,3.719922e+00,8.365494e-02,8.995344e-02,3.719922e+00,2.056730e-42,1.300000e-01,2.559341e+00,1.269858e+00
1.400000e-01,1.438715e-40,3.385260e-01,4.636160e-01,7.301862e-01,3.385260e-01,4.636160e-01,7.301862e-01,3.385260e-01,4.636160e-01,7.301862e-01,3.385260e-01,4.636160e-01,7.301862e-01,3.385260e-01,4.636160e-01,7.301862e-01,9.036850e-02,9.775538e-02,3.697740e+00,9.036850e-02,9.775538e-02,3.697740e+00,9.036850e-02,9.775538e-02,3.697740e+00,9.036850e-02,9.775538e-02,3.697740e+00,9.036850e-02,9.775538e-02,3.697740e+00,1.438715e-40,1.400000e-01,2.806857e+00,1.246946e+00
1.500000e-01,7.377325e-39,3.614538e-01,5.068055e-01,7.132002e-01,3.614538e-01,5.068055e-01,7.132002e-01,3.614538e-01,5.068055e-01,7.132002e-01,3.614538e-01,5.068055e-01,7.132002e-01,3.614538e-01,5.068055e-01,7.132002e-01,9.713655e-02,1.057147e-01,3.675422e+00,9.713655e-02,1.057147e-01,3.675422e+00,9.713655e-02,1.057147e-01,3.675422e+00,9.713655e-02,1.057147e-01,3.675422e+00,9.713655e-02,1.057147e-01,3.675422e+00,7.377325e-39,1.500000e-01,3.062601e+00,1.224449e+00
1.600000e-01,2.884957e-37,3.841497e-01,5.515094e-01,6.965424e-01,3.841497e-01,5.515094e-01,6.965424e-01,3.841497e-01,5.515094e-01,6.965424e-01,3.841497e-01,5.515094e-01,6.965424e-01,3.841497e-01,5.515094e-01,6.965424e-01,1.039626e-01,1.138394e-01,3.652955e+00,1.039626e-01,1.138394e-01,3.652955e+00,1.039626e-01,1.138394e-01,3.652955e+00,1.039626e-01,1.138394e-01,3.652955e+00,1.039626e-01,1.138394e-01,3.652955e+00,2.884957e-37,1.600000e-01,3.326744e+00,1.202377e+00
1.700000e-01,8.886921e-36,4.065992e-01,5.977507e-01,6.802154e-01,4.065992e-01,5.977507e-01,6.802154e-01,4.065992e-01,5.977507e-01,6.802154e-01,4.065992e-01,5.977507e-01,6.802154e-01,4.065992e-01,5.977507e-01,6.802154e-01,1.108502e-01,1.221379e-01,3.630328e+00,1.108502e-01,1.221379e-01,3.630328e+00,1.108502e-01,1.221379e-01,3.630328e+00,1.108502e-01,1.221379e-01,3.630328e+00,1.108502e-01,1.221379e-01,3.630328e+00,8.886921e-36,1.700000e-01,3.599443e+00,1.180738e+00
1.800000e-01,2.215001e-34,4.287873e-01,6.455492e-01,6.642209e-01,4.287873e-01,6.455492e-01,6.642209e-01,4.287873e-01,6.455492e-01,6.642209e-01,4.287873e-01,6.455492e-01,6.642209e-01,4.287873e-01,6.455492e-01,6.642209e-01,1.178032e-01,1.306192e-01,3.607530e+00,1.178032e-01,1.306192e-01,3.607530e+00,1.178032e-01,1.306192e-01,3.607530e+00,1.178032e-01,1.306192e-01,3.607530e+00,1.178032e-01,1.306192e-01,3.607530e+00,2.215001e-34,1.800000e-01,3.880842e+00,1.159542e+00
1.900000e-01,4.568294e-33,4.506983e-01,6.949209e-01,6.485606e-01,4.506983e-01,6.949209e-01,6.485606e-01,4.506983e-01,6.949209e-01,6.485606e-01,4.506983e-01,6.949209e-01,6.485606e-01,4.506983e-01,6.949209e-01,6.485606e-01,1.248254e-01,1.392928e-01,3.584549e+00,1.248254e-01,1.392928e-01,3.584549e+00,1.248254e-01,1.392928e-01,3.584549e+00,1.248254e-01,1.392928e-01,3.584549e+00,1.248254e-01,1.392928e-01,3.584549e+00,4.568294e-33,1.900000e-01,4.171068e+00,1.138797e+00
2.000000e-01,7.945740e-32,4.723163e-01,7.458777e-01,6.332356e-01,4.723163e-01,7.458777e-01,6.332356e-01,4.723163e-01,7.458777e-01,6.332356e-01,4.723163e-01,7.458777e-01,6.332356e-01,4.723163e-01,7.458777e-01,6.332356e-01,1.319209e-01,1.481686e-01,3.561372e+00,1.319209e-01,1.481686e-01,3.561372e+00,1.319209e-01,1.481686e-01,3.561372e+00,1.319209e-01,1.481686e-01,3.561372e+00,1.319209e-01,1.481686e-01,3.561372e+00,7.945740e-32,2.000000e-01,4.470232e+00,1.118510e+00
2.100000e-01,1.184537e-30,4.936249e-01,7.984270e-01,6.182468e-01,4.936249e-01,7.984270e-01,6.182468e-01,4.936249e-01,7.984270e-01,6.182468e-01,4.936249e-01,7.984270e-01,6.182468e-01,4.936249e-01,7.984270e-01,6.182468e-01,1.390938e-01,1.572575e-01,3.537987e+00,1.390938e-01,1.572575e-01,3.537987e+00,1.390938e-01,1.572575e-01,3.537987e+00,1.390938e-01,1.572575e-01,3.537987e+00,1.390938e-01,1.572575e-01,3.537987e+00,1.184537e-30,2.100000e-01,4.778423e+00,1.098689e+00
2.200000e-01,1.534781e-29,5.146073e-01,8.525712e-01,6.035946e-01,5.146073e-01,8.525712e-01,6.035946e-01,5.146073e-01,8.525712e-01,6.035946e-01,5.146073e-01,8.525712e-01,6.035946e-01,5.146073e-01,8.525712e-01,6.035946e-01,1.463482e-01,1.665706e-01,3.514381e+00,1.463482e-01,1.665706e-01,3.514381e+00,1.463482e-01,1.665706e-01,3.514381e+00,1.463482e-01,1.665706e-01,3.514381e+00,1.463482e-01,1.665706e-01,3.514381e+00,1.534781e-29,2.200000e-01,5.095709e+00,1.079340e+00
2.300000e-01,1.749321e-28,5.352464e-01,9.083070e-01,5.892792e-01,5.352464e-01,9.083070e-01,5.892792e-01,5.352464e-01,9.083070e-01,5.892792e-01,5.352464e-01,9.083070e-01,5.892792e-01,5.352464e-01,9.083070e-01,5.892792e-01,1.536884e-01,1.761198e-01,3.490541e+00,1.536884e-01,1.761198e-01,3.490541e+00,1.536884e-01,1.761198e-01,3.490541e+00,1.536884e-01,1.761198e-01,3.490541e+00,1.536884e-01,1.761198e-01,3.490541e+00,1.749321e-28,2.300000e-01,5.422134e+00,1.060468e+00
2.400000e-01,1.772512e-27,5.555249e-01,9.656254e-01,5.753006e-01,5.555249e-01,9.656254e-01,5.753006e-01,5.555249e-01,9.656254e-01,5.753006e-01,5.555249e-01,9.656254e-01,5.753006e-01,5.555249e-01,9.656254e-01,5.753006e-01,1.611188e-01,1.859176e-01,3.466455e+00,1.611188e-01,1.859176e-01,3.466455e+00,1.611188e-01,1.859176e-01,3.466455e+00,1.611188e-01,1.859176e-01,3.466455e+00,1.611188e-01,1.859176e-01,3.466455e+00,1.772512e-27,2.400000e-01,5.757715e+00,1.042080e+00
2.500000e-01,1.611449e-26,5.754253e-01,1.024511e+00,5.616585e-01,5.754253e-01,1.024511e+00,5.616585e-01,5.754253e-01,1.024511e+00,5.616585e-01,5.754253e-01,1.024511e+00,5.616585e-01,5.754253e-01,1.024511e+00,5.616585e-01,1.686437e-01,1.959772e-01,3.442109e+00,1.686437e-01,1.959772e-01,3.442109e+00,1.686437e-01,1.959772e-01,3.442109e+00,1.686437e-01,1.959772e-01,3.442109e+00,1.686437e-01,1.959772e-01,3.442109e+00,1.611449e-26,2.500000e-01,6.102441e+00,1.024180e+00
2.600000e-01,1.325229e-25,5.949302e-01,1.084942e+00,5.483523e-01,5.949302e-01,1.084942e+00,5.483523e-01,5.949302e-01,1.084942e+00,5.483523e-01,5.949302e-01,1.084942e+00,5.483523e-01,5.949302e-01,1.084942e+00,5.483523e-01,1.762674e-01,2.063122e-01,3.417490e+00,1.762674e-01,2.063122e-01,3.417490e+00,1.762674e-01,2.063122e-01,3.417490e+00,1.762674e-01,2.063122e-01,3.417490e+00,1.762674e-01,2.063122e-01,3.417490e+00,1.325229e-25,2.600000e-01,6.456269e+00,1.006773e+00
2.700000e-01,9.930072e-25,6.140222e-01,1.146888e+00,5.353812e-01,6.140222e-01,1.146888e+00,5.353812e-01,6.140222e-01,1.146888e+00,5.353812e-01,6.140222e-01,1.146888e+00,5.353812e-01,6.140222e-01,1.146888e+00,5.353812e-01,1.839944e-01,2.169371e-01,3.392586e+00,1.839944e-01,2.169371e-01,3.392586e+00,1.839944e-01,2.169371e-01,3.392586e+00,1.839944e-01,2.169371e-01,3.392586e+00,1.839944e-01,2.169371e-01,3.392586e+00,9.930072e-25,2.700000e-01,6.819125e+00,9.898631e-01
2.800000e-01,6.823369e-24,6.326841e-01,1.210313e+00,5.227443e-01,6.326841e-01,1.210313e+00,5.227443e-01,6.326841e-01,1.210313e+00,5.227443e-01,6.326841e-01,1.210313e+00,5.227443e-01,6.326841e-01,1.210313e+00,5.227443e-01,1.918290e-01,2.278669e-01,3.367386e+00,1.918290e-01,2.278669e-01,3.367386e+00,1.918290e-01,2.278669e-01,3.367386e+00,1.918290e-01,2.278669e-01,3.367386e+00,1.918290e-01,2.278669e-01,3.367386e+00,6.823369e-24,2.800000e-01,7.190899e+00,9.734527e-01
2.900000e-01,4.324501e-23,6.508992e-01,1.275172e+00,5.104403e-01,6.508992e-01,1.275172e+00,5.104403e-01,6.508992e-01,1.275172e+00,5.104403e-01,6.508992e-01,1.275172e+00,5.104403e-01,6.508992e-01,1.275172e+00,5.104403e-01,1.997752e-01,2.391174e-01,3.341877e+00,1.997752e-01,2.391174e-01,3.341877e+00,1.997752e-01,2.391174e-01,3.341877e+00,1.997752e-01,2.391174e-01,3.341877e+00,1.997752e-01,2.391174e-01,3.341877e+00,4.324501e-23,2.900000e-01,7.571446e+00,9.575449e-01
3.000000e-01,2.541072e-22,6.686510e-01,1.341412e+00,4.984680e-01,6.686510e-01,1.341412e+00,4.984680e-01,6.686510e-01,1.341412e+00,4.984680e-01,6.686510e-01,1.341412e+00,4.984680e-01,6.686510e-01,1.341412e+00,4.984680e-01,2.078372e-01,2.507048e-01,3.316048e+00,2.078372e-01,2.507048e-01,3.316048e+00,2.078372e-01,2.507048e-01,3.316048e+00,2.078372e-01,2.507048e-01,3.316048e+00,2.078372e-01,2.507048e-01,3.316048e+00,2.541072e-22,3.000000e-01,7.960584e+00,9.421419e-01
3.100000e-01,1.390836e-21,6.859241e-01,1.408972e+00,4.868257e-01,6.859241e-01,1.408972e+00,4.868257e-01,6.859241e-01,1.408972e+00,4.868257e-01,6.859241e-01,1.408972e+00,4.868257e-01,6.859241e-01,1.408972e+00,4.868257e-01,2.160190e-01,2.626459e-01,3.289889e+00,2.160190e-01,2.626459e-01,3.289889e+00,2.160190e-01,2.626459e-01,3.289889e+00,2.160190e-01,2.626459e-01,3.289889e+00,2.160190e-01,2.626459e-01,3.289889e+00,1.390836e-21,3.100000e-01,8.358092e+00,9.272451e-01
3.200000e-01,7.121261e-21,7.027035e-01,1.477784e+00,4.755117e-01,7.027035e-01,1.477784e+00,4.755117e-01,7.027035e-01,1.477784e+00,4.755117e-01,7.027035e-01,1.477784e+00,4.755117e-01,7.027035e-01,1.477784e+00,4.755117e-01,2.243241e-01,2.749582e-01,3.263392e+00,2.243241e-01,2.749582e-01,3.263392e+00,2.243241e-01,2.749582e-01,3.263392e+00,2.243241e-01,2.749582e-01,3.263392e+00,2.243241e-01,2.749582e-01,3.263392e+00,7.121261e-21,3.200000e-01,8.763711e+00,9.128553e-01
3.300000e-01,3.424024e-20,7.189757e-01,1.547769e+00,4.645239e-01,7.189757e-01,1.547769e+00,4.645239e-01,7.189757e-01,1.547769e+00,4.645239e-01,7.189757e-01,1.547769e+00,4.645239e-01,7.189757e-01,1.547769e+00,4.645239e-01,2.327561e-01,2.876597e-01,3.236548e+00,2.327561e-01,2.876597e-01,3.236548e+00,2.327561e-01,2.876597e-01,3.236548e+00,2.327561e-01,2.876597e-01,3.236548e+00,2.327561e-01,2.876597e-01,3.236548e+00,3.424024e-20,3.300000e-01,9.177143e+00,8.989725e-01
3.400000e-01,1.551483e-19,7.347280e-01,1.618843e+00,4.538601e-01,7.347280e-01,1.618843e+00,4.538601e-01,7.347280e-01,1.618843e+00,4.538601e-01,7.347280e-01,1.618843e+00,4.538601e-01,7.347280e-01,1.618843e+00,4.538601e-01,2.413180e-01,3.007687e-01,3.209350e+00,2.413180e-01,3.007687e-01,3.209350e+00,2.413180e-01,3.007687e-01,3.209350e+00,2.413180e-01,3.007687e-01,3.209350e+00,2.413180e-01,3.007687e-01,3.209350e+00,1.551483e-19,3.400000e-01,9.598056e+00,8.855960e-01
3.500000e-01,6.646446e-19,7.499494e-01,1.690912e+00,4.435178e-01,7.499494e-01,1.690912e+00,4.435178e-01,7.499494e-01,1.690912e+00,4.435178e-01,7.499494e-01,1.690912e+00,4.435178e-01,7.499494e-01,1.690912e+00,4.435178e-01,2.500127e-01,3.143042e-01,3.181792e+00,2.500127e-01,3.143042e-01,3.181792e+00,2.500127e-01,3.143042e-01,3.181792e+00,2.500127e-01,3.143042e-01,3.181792e+00,2.500127e-01,3.143042e-01,3.181792e+00,6.646446e-19,3.500000e-01,1.002608e+01,8.727240e-01
3.600000e-01,2.699933e-18,7.646301e-01,1.763876e+00,4.334941e-01,7.646301e-01,1.763876e+00,4.334941e-01,7.646301e-01,1.763876e+00,4.334941e-01,7.646301e-01,1.763876e+00,4.334941e-01,7.646301e-01,1.763876e+00,4.334941e-01,2.588425e-01,3.282853e-01,3.153872e+00,2.588425e-01,3.282853e-01,3.153872e+00,2.588425e-01,3.282853e-01,3.153872e+00,2.588425e-01,3.282853e-01,3.153872e+00,2.588425e-01,3.282853e-01,3.153872e+00,2.699933e-18,3.600000e-01,1.046081e+01,8.603541e-01
3.700000e-01,1.042858e-17,7.787623e-01,1.837631e+00,4.237861e-01,7.787623e-01,1.837631e+00,4.237861e-01,7.787623e-01,1.837631e+00,4.237861e-01,7.787623e-01,1.837631e+00,4.237861e-01,7.787623e-01,1.837631e+00,4.237861e-01,2.678094e-01,3.427318e-01,3.125586e+00,2.678094e-01,3.427318e-01,3.125586e+00,2.678094e-01,3.427318e-01,3.125586e+00,2.678094e-01,3.427318e-01,3.125586e+00,2.678094e-01,3.427318e-01,3.125586e+00,1.042858e-17,3.700000e-01,1.090181e+01,8.484828e-01
3.800000e-01,3.839754e-17,7.923399e-01,1.912062e+00,4.143902e-01,7.923399e-01,1.912062e+00,4.143902e-01,7.923399e-01,1.912062e+00,4.143902e-01,7.923399e-01,1.912062e+00,4.143902e-01,7.923399e-01,1.912062e+00,4.143902e-01,2.769150e-01,3.576634e-01,3.096934e+00,2.769150e-01,3.576634e-01,3.096934e+00,2.769150e-01,3.576634e-01,3.096934e+00,2.769150e-01,3.576634e-01,3.096934e+00,2.769150e-01,3.576634e-01,3.096934e+00,3.839754e-17,3.800000e-01,1.134863e+01,8.371056e-01
3.900000e-01,1.350845e-16,8.053587e-01,1.987054e+00,4.053028e-01,8.053587e-01,1.987054e+00,4.053028e-01,8.053587e-01,1.987054e+00,4.053028e-01,8.053587e-01,1.987054e+00,4.053028e-01,8.053587e-01,1.987054e+00,4.053028e-01,2.861603e-01,3.731004e-01,3.067918e+00,2.861603e-01,3.731004e-01,3.067918e+00,2.861603e-01,3.731004e-01,3.067918e+00,2.861603e-01,3.731004e-01,3.067918e+00,2.861603e-01,3.731004e-01,3.067918e+00,1.350845e-16,3.900000e-01,1.180077e+01,8.262170e-01
4.000000e-01,4.550688e-16,8.178167e-01,2.062487e+00,3.965197e-01,8.178167e-01,2.062487e+00,3.965197e-01,8.178167e-01,2.062487e+00,3.965197e-01,8.178167e-01,2.062487e+00,3.965197e-01,8.178167e-01,2.062487e+00,3.965197e-01,2.955458e-01,3.890630e-01,3.038540e+00,2.955458e-01,3.890630e-01,3.038540e+00,2.955458e-01,3.890630e-01,3.038540e+00,2.955458e-01,3.890630e-01,3.038540e+00,2.955458e-01,3.890630e-01,3.038540e+00,4.550688e-16,4.000000e-01,1.225775e+01,8.158104e-01
4.100000e-01,1.470953e-15,8.297139e-01,2.138237e+00,3.880365e-01,8.297139e-01,2.138237e+00,3.880365e-01,8.297139e-01,2.138237e+00,3.880365e-01,8.297139e-01,2.138237e+00,3.880365e-01,8.297139e-01,2.138237e+00,3.880365e-01,3.050715e-01,4.055718e-01,3.008804e+00,3.050715e-01,4.055718e-01,3.008804e+00,3.050715e-01,4.055718e-01,3.008804e+00,3.050715e-01,4.055718e-01,3.008804e+00,3.050715e-01,4.055718e-01,3.008804e+00,1.470953e-15,4.100000e-01,1.271904e+01,8.058782e-01
4.200000e-01,4.570816e-15,8.410524e-01,2.214180e+00,3.798483e-01,8.410524e-01,2.214180e+00,3.798483e-01,8.410524e-01,2.214180e+00,3.798483e-01,8.410524e-01,2.214180e+00,3.798483e-01,8.410524e-01,2.214180e+00,3.798483e-01,3.147369e-01,4.226473e-01,2.978719e+00,3.147369e-01,4.226473e-01,2.978719e+00,3.147369e-01,4.226473e-01,2.978719e+00,3.147369e-01,4.226473e-01,2.978719e+00,3.147369e-01,4.226473e-01,2.978719e+00,4.570816e-15,4.200000e-01,1.318414e+01,7.964117e-01
4.300000e-01,1.367828e-14,8.518364e-01,2.290192e+00,3.719499e-01,8.518364e-01,2.290192e+00,3.719499e-01,8.518364e-01,2.290192e+00,3.719499e-01,8.518364e-01,2.290192e+00,3.719499e-01,8.518364e-01,2.290192e+00,3.719499e-01,3.245409e-01,4.403105e-01,2.948291e+00,3.245409e-01,4.403105e-01,2.948291e+00,3.245409e-01,4.403105e-01,2.948291e+00,3.245409e-01,4.403105e-01,2.948291e+00,3.245409e-01,4.403105e-01,2.948291e+00,1.367828e-14,4.300000e-01,1.365251e+01,7.874010e-01
4.400000e-01,3.948519e-14,8.620723e-01,2.366149e+00,3.643357e-01,8.620723e-01,2.366149e+00,3.643357e-01,8.620723e-01,2.366149e+00,3.643357e-01,8.620723e-01,2.366149e+00,3.643357e-01,8.620723e-01,2.366149e+00,3.643357e-01,3.344819e-01,4.585822e-01,2.917531e+00,3.344819e-01,4.585822e-01,2.917531e+00,3.344819e-01,4.585822e-01,2.917531e+00,3.344819e-01,4.585822e-01,2.917531e+00,3.344819e-01,4.585822e-01,2.917531e+00,3.948519e-14,4.400000e-01,1.412365e+01,7.788353e-01
4.500000e-01,1.101235e-13,8.717684e-01,2.441930e+00,3.569997e-01,8.717684e-01,2.441930e+00,3.569997e-01,8.717684e-01,2.441930e+00,3.569997e-01,8.717684e-01,2.441930e+00,3.569997e-01,8.717684e-01,2.441930e+00,3.569997e-01,3.445579e-01,4.774835e-01,2.886449e+00,3.445579e-01,4.774835e-01,2.886449e+00,3.445579e-01,4.774835e-01,2.886449e+00,3.445579e-01,4.774835e-01,2.886449e+00,3.445579e-01,4.774835e-01,2.886449e+00,1.101235e-13,4.500000e-01,1.459707e+01,7.707027e-01
4.600000e-01,2.971714e-13,8.809348e-01,2.517419e+00,3.499357e-01,8.809348e-01,2.517419e+00,3.499357e-01,8.809348e-01,2.517419e+00,3.499357e-01,8.809348e-01,2.517419e+00,3.499357e-01,8.809348e-01,2.517419e+00,3.499357e-01,3.547663e-01,4.970355e-01,2.855058e+00,3.547663e-01,4.970355e-01,2.855058e+00,3.547663e-01,4.970355e-01,2.855058e+00,3.547663e-01,4.970355e-01,2.855058e+00,3.547663e-01,4.970355e-01,2.855058e+00,2.971714e-13,4.600000e-01,1.507227e+01,7.629905e-01
4.700000e-01,7.769920e-13,8.895837e-01,2.592502e+00,3.431371e-01,8.895837e-01,2.592502e+00,3.431371e-01,8.895837e-01,2.592502e+00,3.431371e-01,8.895837e-01,2.592502e+00,3.431371e-01,8.895837e-01,2.592502e+00,3.431371e-01,3.651041e-01,5.172597e-01,2.823372e+00,3.651041e-01,5.172597e-01,2.823372e+00,3.651041e-01,5.172597e-01,2.823372e+00,3.651041e-01,5.172597e-01,2.823372e+00,3.651041e-01,5.172597e-01,2.823372e+00,7.769920e-13,4.700000e-01,1.554881e+01,7.556849e-01
4.800000e-01,1.970952e-12,8.977284e-01,2.667073e+00,3.365969e-01,8.977284e-01,2.667073e+00,3.365969e-01,8.977284e-01,2.667073e+00,3.365969e-01,8.977284e-01,2.667073e+00,3.365969e-01,8.977284e-01,2.667073e+00,3.365969e-01,3.755679e-01,5.381778e-01,2.791404e+00,3.755679e-01,5.381778e-01,2.791404e+00,3.755679e-01,5.381778e-01,2.791404e+00,3.755679e-01,5.381778e-01,2.791404e+00,3.755679e-01,5.381778e-01,2.791404e+00,1.970952e-12,4.800000e-01,1.602625e+01,7.487714e-01
